Team,Opponent,Team_Score,Opponent_Score,net_score,Opp_avg_Score,Opp_avg_Passing,Team_Rushing,Opp_avg_to,Opp_avg_yards,Opp_win_rate
Los Angeles Rams,Oakland Raiders,33,13,20,18.125,234.4375,101.75,1.5,336.1875,0.25
Los Angeles Rams,Arizona Cardinals,34,0,34,14.0625,157.6875,83.875,1.75,241.5625,0.1875
Los Angeles Rams,Los Angeles Chargers,35,23,12,26.61111111,253.2777778,110.0555556,1.222222222,363.3333333,0.722222222
Los Angeles Rams,Minnesota Vikings,38,31,7,22.5,252.25,93.3125,1.25,345.5625,0.5
Los Angeles Rams,Seattle Seahawks,33,31,2,26.47058824,195.2352941,154.8823529,0.647058824,350.1176471,0.588235294
Los Angeles Rams,Denver Broncos,23,20,3,20.5625,230.9375,119.1875,1.3125,350.125,0.375
Los Angeles Rams,San Francisco 49ers,39,10,29,21.375,241.6875,118.875,2,360.5625,0.25
Los Angeles Rams,Green Bay Packers,29,27,2,23.5,264.875,104.1875,0.9375,369.0625,0.375
Los Angeles Rams,New Orleans Saints,35,45,-10,30.38888889,253.7222222,122.7777778,1,376.5,0.777777778
Los Angeles Rams,Seattle Seahawks,36,31,5,26.47058824,195.2352941,154.8823529,0.647058824,350.1176471,0.588235294
Los Angeles Rams,Kansas City Chiefs,54,51,3,34.83333333,303.1666667,115.3333333,1.055555556,418.5,0.722222222
Los Angeles Rams,Detroit Lions,30,16,14,20.25,223.5,103.75,1.1875,327.25,0.375
Los Angeles Rams,Chicago Bears,6,15,-9,25.64705882,226.7647059,117.8235294,1.411764706,344.5882353,0.705882353
Los Angeles Rams,Philadelphia Eagles,,30,-7,22.05555556,263,92.27777778,1.5,355.2777778,0.555555556
Los Angeles Rams,Arizona Cardinals,31,9,22,14.0625,157.6875,83.875,1.75,241.5625,0.1875
Los Angeles Rams,San Francisco 49ers,23,32,16,21.375,241.6875,118.875,2,360.5625,0.25
Los Angeles Rams,Dallas Cowboys,30,22,8,21.38888889,222.8888889,120.9444444,1,343.8333333,0.611111111
Los Angeles Rams,New Orleans Saints,26,23,3,30.38888889,253.7222222,122.7777778,1,376.5,0.777777778
