Team,Team_Score,Opponent_Score,Team_Passing,Team_Rushing,Team_Turnovers,Opponent_Passing,Opponent_Rushing,Opponent_Turnovers,avg_ns,Team_total_yards,Opponent_total_ yards,win_rate,Team_Rank
Arizona Cardinals,14.0625,26.5625,157.6875,83.875,1.75,203.875,154.9375,1.0,-12.5,241.5625,358.8125,0.1875,32.0
Atlanta Falcons,25.875,26.4375,290.8125,98.3125,1.125,259.5625,124.9375,1.1875,-0.5625,389.125,384.5,0.4375,16.0
Baltimore Ravens,23.88235294117647,18.235294117647058,217.47058823529412,148.88235294117646,1.3529411764705883,206.7058823529412,83.29411764705883,1.0588235294117647,5.647058823529412,366.3529411764706,290.0,0.5882352941176471,10.0
Buffalo Bills,16.8125,23.375,174.625,124.0,2.0,179.1875,114.9375,1.6875,-6.5625,298.625,294.125,0.375,21.0
Carolina Panthers,23.5,23.875,239.75,133.5,1.375,240.4375,112.75,1.4375,-0.375,373.25,353.1875,0.4375,16.0
Chicago Bears,25.647058823529413,17.58823529411765,226.76470588235293,117.82352941176471,1.411764705882353,221.94117647058823,77.76470588235294,2.235294117647059,8.058823529411764,344.5882352941176,299.70588235294116,0.7058823529411765,6.0
Cincinnati Bengals,23.0,28.4375,205.625,105.125,1.0625,275.875,137.75,1.125,-5.4375,310.75,413.625,0.375,21.0
Cleveland Browns,22.4375,24.5,250.4375,118.3125,1.5,257.8125,135.1875,1.9375,-2.0625,368.75,393.0,0.4375,16.0
Dallas Cowboys,21.38888888888889,20.88888888888889,222.88888888888889,120.94444444444444,1.0,231.5,103.27777777777777,1.1111111111111112,0.5,343.8333333333333,334.77777777777777,0.6111111111111112,8.0
Denver Broncos,20.5625,21.8125,230.9375,119.1875,1.3125,245.5625,119.5625,1.75,-1.25,350.125,365.125,0.375,21.0
Detroit Lions,20.25,22.5,223.5,103.75,1.1875,224.9375,110.0625,0.875,-2.25,327.25,335.0,0.375,21.0
Green Bay Packers,23.5,25.0,264.875,104.1875,0.9375,234.5,119.875,0.9375,-1.5,369.0625,354.375,0.375,21.0
Houston Texans,24.058823529411764,19.823529411764707,235.1764705882353,125.05882352941177,1.0,258.1764705882353,89.58823529411765,1.7647058823529411,4.235294117647059,360.2352941176471,347.7647058823529,0.6470588235294118,7.0
Indianapolis Colts,25.944444444444443,21.22222222222222,270.1111111111111,111.38888888888889,1.4444444444444444,237.5,106.38888888888889,1.5555555555555556,4.722222222222222,381.5,343.8888888888889,0.6111111111111112,8.0
Jacksonville Jaguars,15.3125,19.75,194.3125,107.6875,1.8125,194.5625,116.875,1.0625,-4.4375,302.0,311.4375,0.3125,26.0
Kansas City Chiefs,34.833333333333336,26.166666666666668,303.1666666666667,115.33333333333333,1.0555555555555556,272.27777777777777,132.05555555555554,1.6666666666666667,8.666666666666666,418.5,404.3333333333333,0.7222222222222222,3.0
Los Angeles Chargers,26.61111111111111,21.5,253.27777777777777,110.05555555555556,1.2222222222222223,229.33333333333334,107.66666666666667,1.2777777777777777,5.111111111111111,363.3333333333333,337.0,0.7222222222222222,3.0
Los Angeles Rams,32.388888888888886,23.833333333333332,277.44444444444446,143.38888888888889,1.1111111111111112,237.77777777777777,114.16666666666667,1.7222222222222223,8.555555555555555,420.8333333333333,351.94444444444446,0.8333333333333334,1.0
Miami Dolphins,19.9375,27.0625,181.25,108.625,1.4375,245.75,145.3125,1.75,-7.125,289.875,391.0625,0.4375,16.0
Minnesota Vikings,22.5,21.3125,252.25,93.3125,1.25,196.25,113.4375,1.25,1.1875,345.5625,309.6875,0.5,15.0
New England Patriots,28.555555555555557,21.333333333333332,274.94444444444446,131.55555555555554,1.1111111111111112,250.44444444444446,103.5,1.6666666666666667,7.222222222222222,406.5,353.94444444444446,0.7222222222222222,3.0
New Orleans Saints,30.38888888888889,21.833333333333332,253.72222222222223,122.77777777777777,1.0,266.8888888888889,78.27777777777777,1.5,8.555555555555555,376.5,345.1666666666667,0.7777777777777778,2.0
New York Giants,23.0625,25.75,252.9375,103.125,1.1875,252.75,118.625,1.3125,-2.6875,356.0625,371.375,0.3125,26.0
New York Jets,20.8125,27.5625,197.8125,101.375,1.875,254.0625,126.3125,1.25,-6.75,299.1875,380.375,0.25,29.0
Oakland Raiders,18.125,29.1875,234.4375,101.75,1.5,240.8125,140.5625,1.0625,-11.0625,336.1875,381.375,0.25,29.0
Philadelphia Eagles,22.055555555555557,21.27777777777778,263.0,92.27777777777777,1.5,271.22222222222223,97.38888888888889,1.0,0.7777777777777778,355.27777777777777,368.6111111111111,0.5555555555555556,14.0
Pittsburgh Steelers,26.75,22.5,313.0,90.3125,1.625,231.0625,96.125,0.9375,4.25,403.3125,327.1875,0.5625,12.0
San Francisco 49ers,21.375,27.1875,241.6875,118.875,2.0,233.25,113.375,0.4375,-5.8125,360.5625,346.625,0.25,29.0
Seattle Seahawks,26.470588235294116,21.823529411764707,195.23529411764707,154.88235294117646,0.6470588235294118,238.7058823529412,116.17647058823529,1.588235294117647,4.647058823529412,350.11764705882354,354.88235294117646,0.5882352941176471,10.0
Tampa Bay Buccaneers,24.75,29.0,320.3125,95.1875,2.1875,259.4375,123.9375,1.0625,-4.25,415.5,383.375,0.3125,26.0
Tennessee Titans,19.375,18.9375,185.9375,126.6875,1.125,216.9375,116.4375,1.0625,0.4375,312.625,333.375,0.5625,12.0
Washington Redskins,17.5625,22.4375,188.8125,110.875,1.1875,237.125,116.25,1.625,-4.875,299.6875,353.375,0.4375,16.0
